tau,thr,entry,n_cand,fill_rate,n_fill,win_uncond,win_fill,ev_maker,ev_taker,ev_maker0
120,150,0.99,498,0.18875502008032127,94,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
90,50,0.9,1516,0.03496042216358839,53,0.9940633245382586,0.8301886792452831,-0.07981132075471696,-0.07981132075471696,-0.06981132075471697
90,50,0.93,1516,0.05079155672823219,77,0.9940633245382586,0.8831168831168831,-0.05688311688311697,-0.05688311688311697,-0.04688311688311697
90,50,0.95,1516,0.0758575197889182,115,0.9940633245382586,0.9217391304347826,-0.03826086956521735,-0.03826086956521735,-0.028260869565217346
90,50,0.97,1516,0.11807387862796834,179,0.9940633245382586,0.9497206703910615,-0.030279329608938525,-0.030279329608938525,-0.020279329608938523
90,50,0.98,1516,0.1695250659630607,257,0.9940633245382586,0.9649805447470817,-0.02501945525291826,-0.02501945525291826,-0.015019455252918257
90,50,0.99,1516,0.3027704485488127,459,0.9940633245382586,0.9803921568627451,-0.019607843137254933,-0.019607843137254933,-0.009607843137254933
90,75,0.9,1157,0.014693171996542784,17,0.9974070872947277,0.8235294117647058,-0.08647058823529419,-0.08647058823529419,-0.07647058823529419
90,75,0.93,1157,0.01901469317199654,22,0.9974070872947277,0.8636363636363636,-0.07636363636363638,-0.07636363636363638,-0.06636363636363639
90,75,0.95,1157,0.02592912705272256,30,0.9974070872947277,0.9,-0.059999999999999935,-0.059999999999999935,-0.04999999999999993
90,75,0.97,1157,0.049265341400172864,57,0.9974070872947277,0.9473684210526315,-0.03263157894736845,-0.03263157894736845,-0.022631578947368447
90,75,0.98,1157,0.08210890233362143,95,0.9974070872947277,0.968421052631579,-0.021578947368421024,-0.021578947368421024,-0.011578947368421022
90,75,0.99,1157,0.19360414866032843,224,0.9974070872947277,0.9866071428571429,-0.013392857142857087,-0.013392857142857087,-0.0033928571428570864
90,100,0.9,878,0.00683371298405467,6,0.9988610478359908,0.8333333333333334,-0.07666666666666665,-0.07666666666666665,-0.06666666666666665
90,100,0.93,878,0.007972665148063782,7,0.9988610478359908,0.8571428571428571,-0.08285714285714293,-0.08285714285714293,-0.07285714285714294
90,100,0.95,878,0.011389521640091117,10,0.9988610478359908,0.9,-0.059999999999999935,-0.059999999999999935,-0.04999999999999993
90,100,0.97,878,0.023917995444191344,21,0.9988610478359908,0.9523809523809523,-0.027619047619047647,-0.027619047619047647,-0.017619047619047645
90,100,0.98,878,0.0489749430523918,43,0.9988610478359908,0.9767441860465116,-0.013255813953488396,-0.013255813953488396,-0.0032558139534883956
90,100,0.99,878,0.14350797266514806,126,0.9988610478359908,0.9920634920634921,-0.0079365079365079,-0.0079365079365079,0.0020634920634921006
90,150,0.9,495,0.00404040404040404,2,1.0,1.0,0.08999999999999998,0.08999999999999998,0.09999999999999998
90,150,0.93,495,0.00404040404040404,2,1.0,1.0,0.05999999999999995,0.05999999999999995,0.06999999999999995
90,150,0.95,495,0.006060606060606061,3,1.0,1.0,0.04000000000000004,0.04000000000000004,0.050000000000000044
90,150,0.97,495,0.010101010101010102,5,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
